Year,Country_Name,Host_city,Host_country,Gold,Silver,Bronze,Total_Medals
2020,United States,Tokyo,Japan,39,41,33,113
2020,China,Tokyo,Japan,38,32,18,88
2020,Japan,Tokyo,Japan,27,14,17,58
2020,Great Britain,Tokyo,Japan,22,21,22,65
2020,Russia,Tokyo,Japan,20,28,23,71
2020,Australia,Tokyo,Japan,17,7,22,46
2020,Netherlands,Tokyo,Japan,10,12,14,36
2020,France,Tokyo,Japan,10,12,11,33
2020,Germany,Tokyo,Japan,10,11,16,37
2020,Italy,Tokyo,Japan,10,10,20,40
2020,Canada,Tokyo,Japan,7,6,11,24
2020,Brazil,Tokyo,Japan,7,6,8,21
2020,New Zealand,Tokyo,Japan,7,6,7,20
2020,Cuba,Tokyo,Japan,7,3,5,15
2020,Hungary,Tokyo,Japan,6,7,7,20
2020,South Korea,Tokyo,Japan,6,4,10,20
2020,Poland,Tokyo,Japan,4,5,5,14
2020,Czech Republic,Tokyo,Japan,4,4,3,11
2020,Kenya,Tokyo,Japan,4,4,2,10
2020,Norway,Tokyo,Japan,4,2,2,8
2020,Jamaica,Tokyo,Japan,4,1,4,9
2020,Spain,Tokyo,Japan,3,8,6,17
2020,Sweden,Tokyo,Japan,3,6,0,9
2020,Switzerland,Tokyo,Japan,3,4,6,13
2020,Denmark,Tokyo,Japan,3,4,4,11
2020,Croatia,Tokyo,Japan,3,3,2,8
2020,Iran,Tokyo,Japan,3,2,2,7
2020,Serbia,Tokyo,Japan,3,1,5,9
2020,Belgium,Tokyo,Japan,3,1,3,7
2020,Bulgaria,Tokyo,Japan,3,1,2,6
2020,Slovenia,Tokyo,Japan,3,1,1,5
2020,Uzbekistan,Tokyo,Japan,3,0,2,5
2020,Georgia,Tokyo,Japan,2,5,1,8
2020,Chinese Taipei,Tokyo,Japan,2,4,6,12
2020,Turkey,Tokyo,Japan,2,2,9,13
2020,Greece,Tokyo,Japan,2,1,1,4
2020,Uganda,Tokyo,Japan,2,1,1,4
2020,Ecuador,Tokyo,Japan,2,1,0,3
2020,Ireland,Tokyo,Japan,2,0,2,4
2020,Israel,Tokyo,Japan,2,0,2,4
2020,Qatar,Tokyo,Japan,2,0,1,3
2020,Bahamas,Tokyo,Japan,2,0,0,2
2020,Kosovo,Tokyo,Japan,2,0,0,2
2020,Ukraine,Tokyo,Japan,1,6,12,19
2020,Belarus,Tokyo,Japan,1,3,3,7
2020,Romania,Tokyo,Japan,1,3,0,4
2020,Venezuela,Tokyo,Japan,1,3,0,4
2020,India,Tokyo,Japan,1,2,4,7
2020,Hong Kong,Tokyo,Japan,1,2,3,6
2020,Philippines,Tokyo,Japan,1,2,1,4
2020,Slovakia,Tokyo,Japan,1,2,1,4
2020,South Africa,Tokyo,Japan,1,2,0,3
2020,Austria,Tokyo,Japan,1,1,5,7
